vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,65880,474648,340851,67560,92529,63369,38304,2317,989,990,14950,549917
2_4,63135,471792,339987,67560,92529,63327,38304,2317,989,990,14748,556626
2_5,60390,468936,339231,67560,92529,63285,38304,2317,989,990,14546,563227
2_6,68625,485472,341091,68121,92529,64230,38304,2317,989,990,14105,535531
2_7,74115,494556,341793,68493,91071,65133,38304,2317,946,990,14093,520493
2_8,74115,494556,341361,68493,91071,65133,38304,2317,946,990,14081,520937
2_9,85095,502986,337197,68577,82905,66120,38304,2317,0,990,14124,513689
2_T,101565,516612,333387,68850,72930,67152,38304,2317,0,0,14302,496885
2_Q,100650,481890,318642,69039,74577,67151,37614,2317,44,0,14630,545750
2_A,0,404694,265620,62172,84363,0,36924,1980,1033,0,24387,831131
3_4,57645,458112,336480,66999,92529,62424,38304,2317,989,990,14574,580941
3_5,54900,455256,335724,66999,92529,62382,38304,2317,989,990,14372,587542
3_6,63135,471792,337584,67560,92529,63327,38304,2317,989,990,13931,559846
3_7,68625,480876,338286,67932,91071,64230,38304,2317,946,990,13919,544808
3_8,74115,494556,340497,68493,91071,65133,38304,2317,946,990,14069,521813
3_9,82350,500130,336333,68577,82905,66078,38304,2317,0,990,13922,520398
3_T,98820,513756,332523,68850,72930,67110,38304,2317,0,0,14100,503594
3_Q,97905,479034,317778,69039,74577,67109,37614,2317,44,0,14428,552459
3_A,0,401838,265620,62172,84363,0,36924,1980,1033,0,24185,834189
4_5,49410,441576,332325,66438,92529,61479,38304,2317,989,990,14198,611749
4_6,57645,458112,334185,66999,92529,62424,38304,2317,989,990,13757,584053
4_7,63135,467196,334887,67371,91071,63327,38304,2317,946,990,13745,569015
4_8,68625,480876,337098,67932,91071,64230,38304,2317,946,990,13895,546020
4_9,82350,500130,335577,68577,82905,66078,38304,2317,0,990,13910,521166
4_T,96075,510900,331767,68850,72930,67068,38304,2317,0,0,13898,510195
4_Q,95160,476178,317022,69039,74577,67067,37614,2317,44,0,14226,559060
4_A,0,398982,265620,62172,84363,0,36924,1980,1033,0,23983,837247
5_6,52155,444432,330894,66438,92529,61521,38304,2317,989,990,13583,608152
5_7,57645,453516,331596,66810,91071,62424,38304,2317,946,990,13571,593114
5_8,63135,467196,333807,67371,91071,63327,38304,2317,946,990,13721,570119
5_9,76860,486450,332286,68016,82905,65175,38304,2317,0,990,13736,545265
5_T,96075,510900,331119,68850,72930,67068,38304,2317,0,0,13886,510855
5_Q,92415,473322,316374,69039,74577,67025,37614,2317,44,0,14024,565553
5_A,0,396126,265620,62172,84363,0,36924,1980,1033,0,23781,840305
6_7,55815,447288,329814,66438,91071,61564,38304,2317,946,990,12833,604924
6_8,61305,460968,332025,66999,91071,62467,38304,2317,946,990,12984,581928
6_9,72285,478092,330504,67644,82905,64273,38304,2317,0,990,12999,561991
6_T,90585,502542,329337,68478,72930,66165,38304,2317,0,0,13149,528497
6_Q,96075,476178,315834,69039,74577,67068,37614,2317,44,0,13287,560271
6_A,0,411534,267858,62733,84363,0,36924,1980,1033,0,23205,822674
7_8,64050,450924,322326,65766,89532,62509,38304,2317,946,990,13026,601614
7_9,75030,468048,320805,66411,81366,64315,38304,2317,0,990,13041,581677
7_T,93330,492498,319638,67245,71391,66207,38304,2317,0,0,13191,548183
7_Q,98820,478470,315402,69039,73092,67110,37614,2317,0,0,13464,556976
7_A,0,407502,266457,62544,82905,0,36924,1980,990,0,23031,829971
8_9,77775,460824,315756,65322,81366,64357,38304,2317,0,990,13219,592074
8_T,96075,481080,313752,65967,71391,66249,38304,2317,0,0,13369,563800
8_Q,101565,467052,309516,67761,73092,67152,37614,2317,0,0,13642,572593
8_A,0,410358,266457,62544,82905,0,36924,1980,990,0,23209,826937
9_T,98820,487320,296799,65895,62769,66291,38304,2317,0,0,13439,580350
9_Q,104310,473292,292725,67689,64470,67194,37614,2317,0,0,13712,588981
9_A,0,415014,266430,62445,74766,0,36924,1980,0,0,27660,827085
T_Q,107055,480096,271368,67761,54012,67236,37614,2317,0,0,13782,611063
T_A,0,258516,245394,53550,64308,0,36924,1980,0,0,196051,855581
Q_A,0,219846,231675,53739,65955,0,36234,1980,44,0,10327,1092504
