type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,422730,562680,206360,24864,24904,150616,15562,172,88,9654,294674,82.23,0.56,17.21
2osame,2_3,0,486244,575244,200714,24864,24862,147546,15528,172,88,9477,227565,86.16,0.55,13.29
2osame,2_4,0,480788,573732,200208,24864,24820,147534,15528,172,88,9234,235336,85.72,0.54,13.74
2osame,2_5,0,475332,572220,199702,24864,24778,147522,15528,172,88,8991,243107,85.28,0.53,14.2
2osame,2_6,0,493702,581922,202992,24864,24779,147510,15528,172,88,8181,212566,87.11,0.48,12.41
2osame,2_7,0,511082,591624,206282,24864,24821,147498,15528,172,88,8361,181984,88.88,0.49,10.63
2osame,2_8,0,507342,590769,202992,23007,24863,147486,15528,129,88,8236,191864,88.31,0.48,11.21
2osame,2_9,0,513766,592938,200208,21150,24947,147474,15528,86,88,8353,187766,88.55,0.49,10.97
2osame,2_T,0,521422,595107,196918,19051,25033,147462,15528,86,44,8470,183183,88.81,0.49,10.7
2osame,2_J,0,526878,596619,197424,19051,25075,147450,15528,86,44,8713,175436,89.25,0.51,10.25
2osame,2_K,0,384516,472284,201220,21150,12452,141840,15179,130,44,9094,454395,72.93,0.53,26.54
2osame,2_A,0,365178,461925,201220,23007,12452,141840,15179,173,44,8991,482295,71.31,0.53,28.17
2osame,2_3,0,486244,575244,200714,24864,24862,147546,15528,172,88,9477,227565,86.16,0.55,13.29
2osame,3_3,0,417780,561168,205854,24864,24820,150296,15562,172,88,9168,302532,81.8,0.54,17.67
2osame,3_4,0,463408,564030,196918,24864,24778,147522,15528,172,88,9053,265943,83.94,0.53,15.53
2osame,3_5,0,457952,562518,196412,24864,24736,147510,15528,172,88,8810,273714,83.5,0.51,15.99
2osame,3_6,0,476322,572220,199702,24864,24737,147498,15528,172,88,8000,243173,85.33,0.47,14.2
2osame,3_7,0,493702,581922,202992,24864,24779,147486,15528,172,88,8180,212591,87.11,0.48,12.42
2osame,3_8,0,507342,590769,202992,23007,24821,147474,15528,129,88,8235,191919,88.31,0.48,11.21
2osame,3_9,0,508310,591426,199702,21150,24905,147462,15528,86,88,8110,195537,88.11,0.47,11.42
2osame,3_T,0,515966,593595,196412,19051,24991,147450,15528,86,44,8227,190954,88.37,0.48,11.15
2osame,3_J,0,521422,595107,196918,19051,25033,147438,15528,86,44,8470,183207,88.81,0.49,10.7
2osame,3_K,0,379808,470772,200714,21150,12410,141828,15179,130,44,8851,461418,72.54,0.52,26.95
2osame,3_A,0,360470,460413,200714,23007,12410,141828,15179,173,44,8748,489318,70.91,0.51,28.58
2osame,2_4,0,480788,573732,200208,24864,24820,147534,15528,172,88,9234,235336,85.72,0.54,13.74
2osame,3_4,0,463408,564030,196918,24864,24778,147522,15528,172,88,9053,265943,83.94,0.53,15.53
2osame,4_4,0,412830,559656,205348,24864,24736,149976,15562,172,88,8682,310390,81.37,0.51,18.13
2osame,4_5,0,440572,552816,193122,24864,24694,147498,15528,172,88,8629,304321,81.72,0.5,17.77
2osame,4_6,0,458942,562518,196412,24864,24695,147486,15528,172,88,7819,273780,83.55,0.46,15.99
2osame,4_7,0,476322,572220,199702,24864,24737,147474,15528,172,88,7999,243198,85.33,0.47,14.2
2osame,4_8,0,489962,581067,199702,23007,24779,147462,15528,129,88,8054,222526,86.53,0.47,13.0
2osame,4_9,0,508310,591426,199702,21150,24863,147450,15528,86,88,8109,195592,88.1,0.47,11.42
2osame,4_T,0,510510,592083,195906,19051,24949,147438,15528,86,44,7984,198725,87.93,0.47,11.61
2osame,4_J,0,515966,593595,196412,19051,24991,147426,15528,86,44,8227,190978,88.37,0.48,11.15
2osame,4_K,0,375100,469260,200208,21150,12368,141816,15179,130,44,8608,468441,72.14,0.5,27.36
2osame,4_A,0,355762,458901,200208,23007,12368,141816,15179,173,44,8505,496341,70.52,0.5,28.99
2osame,2_5,0,475332,572220,199702,24864,24778,147522,15528,172,88,8991,243107,85.28,0.53,14.2
2osame,3_5,0,457952,562518,196412,24864,24736,147510,15528,172,88,8810,273714,83.5,0.51,15.99
2osame,4_5,0,440572,552816,193122,24864,24694,147498,15528,172,88,8629,304321,81.72,0.5,17.77
2osame,5_5,0,407880,558144,204842,24864,24652,149656,15562,172,88,8196,318248,80.94,0.48,18.59
2osame,5_6,0,441562,552816,193122,24864,24653,147474,15528,172,88,7638,304387,81.78,0.45,17.78
2osame,5_7,0,458942,562518,196412,24864,24695,147462,15528,172,88,7818,273805,83.55,0.46,15.99
2osame,5_8,0,472582,571365,196412,23007,24737,147450,15528,129,88,7873,253133,84.76,0.46,14.78
2osame,5_9,0,490930,581724,196412,21150,24821,147438,15528,86,88,7928,226199,86.33,0.46,13.21
2osame,5_T,0,510510,592083,195906,19051,24907,147426,15528,86,44,7983,198780,87.92,0.47,11.61
2osame,5_J,0,510510,592083,195906,19051,24949,147414,15528,86,44,7984,198749,87.93,0.47,11.61
2osame,5_K,0,370392,467748,199702,21150,12326,141804,15179,130,44,8365,475464,71.74,0.49,27.77
2osame,5_A,0,351054,457389,199702,23007,12326,141804,15179,173,44,8262,503364,70.12,0.48,29.4
2osame,2_6,0,493702,581922,202992,24864,24779,147510,15528,172,88,8181,212566,87.11,0.48,12.41
2osame,3_6,0,476322,572220,199702,24864,24737,147498,15528,172,88,8000,243173,85.33,0.47,14.2
2osame,4_6,0,458942,562518,196412,24864,24695,147486,15528,172,88,7819,273780,83.55,0.46,15.99
2osame,5_6,0,441562,552816,193122,24864,24653,147474,15528,172,88,7638,304387,81.78,0.45,17.78
2osame,6_6,0,408870,558144,204842,24864,24654,149336,15562,172,88,7206,318566,80.97,0.42,18.6
2osame,6_7,0,448008,554328,193628,24864,24696,147450,15528,172,88,6890,296652,82.27,0.4,17.32
2osame,6_8,0,461648,563175,193628,23007,24738,147438,15528,129,88,6945,275980,83.48,0.41,16.12
2osame,6_9,0,479996,573534,193628,21150,24822,147426,15528,86,88,7000,249046,85.05,0.41,14.54
2osame,6_T,0,499576,583893,193122,19051,24908,147414,15528,86,44,7055,221627,86.64,0.41,12.94
2osame,6_J,0,516956,593595,196412,19051,24950,147402,15528,86,44,7236,191044,88.42,0.42,11.16
2osame,6_K,0,371382,467748,199702,21150,12327,141792,15179,130,44,7375,475475,71.8,0.43,27.77
2osame,6_A,0,365684,466236,202992,23007,12327,141792,15179,173,44,7452,477418,71.68,0.44,27.88
2osame,2_7,0,511082,591624,206282,24864,24821,147498,15528,172,88,8361,181984,88.88,0.49,10.63
2osame,3_7,0,493702,581922,202992,24864,24779,147486,15528,172,88,8180,212591,87.11,0.48,12.42
2osame,4_7,0,476322,572220,199702,24864,24737,147474,15528,172,88,7999,243198,85.33,0.47,14.2
2osame,5_7,0,458942,562518,196412,24864,24695,147462,15528,172,88,7818,273805,83.55,0.46,15.99
2osame,6_7,0,448008,554328,193628,24864,24696,147450,15528,172,88,6890,296652,82.27,0.4,17.32
2osame,7_7,0,413820,559656,205348,24864,24738,149016,15562,172,88,7690,311350,81.37,0.45,18.18
2osame,7_8,0,453464,555840,194134,23007,24780,147426,15528,129,88,7187,290721,82.6,0.42,16.98
2osame,7_9,0,467104,564687,194134,21150,24864,147414,15528,86,88,7242,270007,83.81,0.42,15.77
2osame,7_T,0,485694,575046,193628,19051,24950,147402,15528,86,44,7297,243578,85.35,0.43,14.23
2osame,7_J,0,503074,584748,196918,19051,24992,147390,15528,86,44,7478,212995,87.12,0.44,12.44
2osame,7_K,0,376090,469260,200208,21150,12369,141780,15179,130,44,7617,468477,72.2,0.44,27.36
2osame,7_A,0,365684,466236,202992,23007,12369,141780,15179,173,44,7452,477388,71.68,0.44,27.88
2osame,2_8,0,507342,590769,202992,23007,24863,147486,15528,129,88,8236,191864,88.31,0.48,11.21
